127.0.0.1 - - [17/Apr/2020:15:20:33 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:35 +0900] "GET /Watch_Next/ HTTP/1.1" 200 7918
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:35 +0900] "GET /Watch_Next/Resources/css/hedaer_footer.css HTTP/1.1" 200 4071
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:35 +0900] "GET /Watch_Next/Resources/css/index.css HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:35 +0900] "GET /Watch_Next/Resources/css/a_tag.css HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:35 +0900] "GET /Watch_Next/WebContent/Resources/js/Index.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:35 +0900] "GET /Watch_Next/Resources/css/hedaer_footer(AFTER).css HTTP/1.1" 200 4116
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:35 +0900] "GET /Watch_Next/Resources/images/logo.png HTTP/1.1" 200 18496
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:35 +0900] "GET /Watch_Next/Resources/images/%EC%96%B4%EB%B2%A4%EC%A0%B8%EC%8A%A4.jpg HTTP/1.1" 200 90836
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:35 +0900] "GET /Watch_Next/Resources/js/Header.js HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:36 +0900] "GET /Watch_Next/WebContent/Resources/js/Index.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:36 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:40 +0900] "GET /Watch_Next/view/pages/loginForm.jsp HTTP/1.1" 200 4997
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:40 +0900] "GET /Watch_Next/Resources/css/login.css HTTP/1.1" 200 1677
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:47 +0900] "POST /Watch_Next/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:47 +0900] "GET /Watch_Next HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:47 +0900] "GET /Watch_Next/ HTTP/1.1" 200 7907
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:47 +0900] "GET /Watch_Next/WebContent/Resources/js/Index.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:47 +0900] "GET /Watch_Next/WebContent/Resources/js/Index.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:51 +0900] "GET /Watch_Next/list.recruit HTTP/1.1" 200 7548
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:51 +0900] "GET /Watch_Next/Resources/css/recruit_list.css HTTP/1.1" 200 2557
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:54 +0900] "GET /Watch_Next/detail.recruit?rNo=1 HTTP/1.1" 200 8310
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:54 +0900] "GET /Watch_Next/Resources/images/siren2.png HTTP/1.1" 200 18823
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:20:54 +0900] "GET /Watch_Next/Resources/css/recruit_post.css HTTP/1.1" 200 2387
0:0:0:0:0:0:0:1 - - [17/Apr/2020:15:21:03 +0900] "GET /Watch_Next/detail.recruit?rNo=1 HTTP/1.1" 200 8312
